StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,GlobalTeamID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed,LineupConfirmed,LineupStatus
813045,25,20000464,1,2021,James Johnson,DAL,PF,1,20000025,2021-03-06T03:15:16,27,606.6,747,28,100.3,216.0,71.6,79.3,77.2,126.5,94.1,23.1,89.5,40.0,21.6,40.1,83.0,18.5,109.6,128.1,6.5,24.5,14.4,72.5,35.5,33.9,40.1,84.9,245.3,233.7,81.0,21.4,21.2,5.5,10.2,22.6,25.1,676.0,644.6,676.0,-55.5,0.0,0.0,644.6,False,,Scrambled
814744,22,20000466,1,2021,Bruno Caboclo,HOU,SF,0,20000022,2021-03-06T03:15:17,6,54.5,56,40,12.3,26.2,72.7,72.7,12.3,18.5,102.9,0.0,11.9,0.0,2.4,4.8,77.2,7.1,17.0,21.6,13.0,51.4,31.5,2.4,0.0,4.8,9.5,14.3,26.2,27.6,72.8,18.4,11.3,0.0,11.4,28.2,39.7,57.6,58.6,57.6,0.0,0.0,0.0,58.6,False,,Scrambled
812050,27,20000468,1,2021,Anthony Davis,LAL,PF,23,20000027,2021-03-06T03:15:15,23,1469.9,1165,7,314.8,591.0,82.2,85.5,288.5,501.5,88.7,26.2,89.5,45.2,142.0,199.0,110.0,72.5,225.3,297.8,11.0,32.8,22.1,108.0,47.8,63.3,69.4,64.8,797.7,678.5,90.7,43.9,24.3,4.8,11.3,14.3,43.3,1581.0,1551.1,1581.0,208.3,12.3,0.0,1551.1,False,,Scrambled
814740,22,20000471,1,2021,Eric Gordon,HOU,SG,12,20000022,2021-03-06T03:15:17,26,987.8,1177,31,236.1,540.0,67.4,81.9,134.2,229.9,90.1,101.8,310.1,50.6,142.0,169.7,129.0,10.8,75.6,86.4,2.2,10.9,9.3,108.0,21.6,20.1,77.2,63.3,716.0,614.7,89.8,28.4,23.6,2.1,3.5,17.2,38.9,1029.5,1081.6,1029.5,-77.2,0.0,0.0,1081.6,False,,Scrambled
813024,15,20000474,1,2021,Jrue Holiday,MIL,PG,23,20000015,2021-03-06T03:15:16,26,1254.6,1242,29,245.3,499.9,75.8,86.3,177.4,313.2,87.5,67.9,186.7,56.2,55.5,72.5,118.2,47.8,126.5,174.4,9.8,16.0,11.3,205.2,72.5,21.6,64.8,69.4,614.1,531.8,89.2,34.5,35.2,6.6,3.6,16.8,31.3,1348.7,1329.7,1348.7,262.3,0.0,0.0,1329.7,False,,Scrambled
812060,26,20000482,1,2021,Draymond Green,GS,PF,31,20000026,2021-03-06T03:15:15,31,1313.2,1416,22,104.9,268.5,60.3,66.5,83.3,177.4,72.5,21.6,91.0,36.6,41.7,58.6,109.7,35.5,254.6,290.1,6.3,28.8,16.6,412.0,67.9,33.9,129.6,154.3,273.1,294.3,71.7,21.9,57.4,5.3,5.1,47.2,19.6,1415.1,1417.2,1415.1,129.6,11.9,2.4,1417.2,False,,Scrambled
813036,30,20000483,1,2021,Harrison Barnes,SAC,SF,33,20000030,2021-03-06T03:15:16,33,1521.4,1819,0,283.9,577.1,75.9,87.5,197.5,356.4,85.5,86.4,220.6,60.5,197.5,239.2,127.5,50.9,257.7,308.6,7.2,24.9,14.6,182.1,40.1,14.3,72.5,66.3,851.7,682.3,96.3,30.0,21.1,2.5,1.0,14.8,27.4,1570.8,1618.6,1570.8,-120.4,2.4,0.0,1618.6,False,,Scrambled
812071,26,20000485,1,2021,Stephen Curry,GS,PG,35,20000026,2021-03-06T03:15:15,35,2445.2,1842,37,529.2,1107.9,73.8,92.0,268.5,473.7,87.5,260.8,634.2,63.4,283.9,304.0,144.1,26.2,268.5,294.7,3.6,23.4,12.9,341.0,71.0,4.8,171.3,98.8,1603.2,1241.6,99.7,49.4,50.3,4.3,0.3,18.7,50.3,2519.3,2692.1,2519.3,123.4,10.8,0.0,2692.1,False,,Scrambled
812052,26,20000486,1,2021,Klay Thompson,GS,SG,0,20000026,2021-03-06T02:21:29,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,Scrambled
813135,4,20000487,1,2021,Andre Iguodala,MIA,SF,2,20000004,2021-03-06T03:15:17,34,774.4,1134,25,88.0,226.8,59.9,79.8,29.3,54.0,83.8,58.6,172.8,52.3,21.6,38.6,86.4,30.9,165.1,196.0,7.7,24.1,15.0,118.8,55.5,24.7,55.5,78.7,256.1,243.8,81.0,17.9,22.6,5.8,5.5,28.6,18.3,854.7,841.3,854.7,-118.8,0.0,0.0,841.3,False,,Scrambled
812791,13,20000492,1,2021,Justin Holiday,IND,SG,26,20000013,2021-03-06T03:15:15,35,1158.5,1742,68,214.5,467.5,70.8,93.7,77.2,135.8,87.6,137.3,331.7,63.9,63.3,77.2,126.5,33.9,180.5,214.5,5.2,18.0,10.7,92.6,66.3,21.6,43.2,120.4,629.5,501.5,96.9,22.6,11.0,4.4,2.5,12.2,21.0,1246.4,1259.5,1246.4,14.3,0.0,0.0,1259.5,False,,Scrambled
812833,15,20000497,1,2021,Giannis Antetokounmpo,MIL,PF,35,20000015,2021-03-06T03:15:15,35,2885.6,1833,82,567.8,1019.9,85.9,90.6,507.6,808.5,96.9,60.2,211.4,44.0,370.3,560.1,102.0,98.8,530.8,629.5,13.8,45.5,27.7,316.3,67.9,75.6,197.5,163.6,1566.1,1266.4,95.5,53.4,43.5,4.2,8.7,20.8,52.0,3029.1,3113.0,3029.1,395.0,38.6,9.5,3113.0,False,,Scrambled
813077,15,20000500,1,2021,Khris Middleton,MIL,SF,36,20000015,2021-03-06T03:15:16,36,2027.8,1855,88,419.7,847.1,76.4,88.3,291.6,550.9,81.6,128.1,296.3,66.7,175.9,199.0,136.4,47.8,293.2,341.0,6.6,24.8,14.8,317.9,61.7,14.3,143.5,142.0,1143.4,934.7,94.3,36.9,38.0,3.8,1.0,20.5,37.8,2098.8,2196.8,2098.8,246.9,10.8,0.0,2196.8,False,,Scrambled
813147,5,20000501,1,2021,Michael Carter-Williams,ORL,PG,12,20000005,2021-03-06T03:15:17,17,556.9,693,51,89.5,222.2,62.2,66.5,77.2,174.4,68.2,12.3,47.8,39.8,44.7,58.6,117.7,41.7,84.9,126.5,14.4,20.4,14.7,106.5,15.4,13.9,49.4,77.2,236.1,248.0,73.6,19.8,34.9,2.6,4.4,25.6,28.7,586.2,594.1,586.2,54.0,0.0,0.0,594.1,False,,Scrambled
812069,27,20000505,1,2021,Jared Dudley,LAL,SF,0,20000027,2021-03-06T03:15:15,11,59.1,117,15,4.8,10.8,44.1,66.2,0.0,4.8,0.0,4.8,11.9,61.7,0.0,0.0,0.0,9.5,23.1,29.3,14.3,33.4,21.6,11.9,2.4,2.4,4.8,10.8,14.3,10.8,66.2,10.0,12.2,1.5,2.7,34.3,12.3,62.2,63.6,62.2,7.1,0.0,0.0,63.6,False,,Scrambled
812915,30,20000511,1,2021,Jabari Parker,SAC,PF,0,20000030,2021-03-06T03:15:16,2,24.2,37,88,9.5,10.8,88.1,88.1,9.5,14.3,102.9,0.0,2.4,0.0,0.0,0.0,0.0,2.4,11.9,14.3,10.3,35.3,20.6,2.4,0.0,2.4,7.1,9.5,12.3,10.8,88.1,11.3,13.1,0.0,8.1,46.3,26.5,25.8,27.0,25.8,-26.2,0.0,0.0,27.0,False,,Scrambled
812821,4,20000515,1,2021,Jimmy Butler,MIA,SG,22,20000004,2021-03-06T03:15:15,22,1478.5,1123,89,220.6,486.0,70.1,72.1,208.3,433.6,74.1,12.3,52.5,36.3,243.8,282.4,133.2,67.9,188.2,256.1,11.0,27.7,19.8,265.4,64.8,12.3,78.7,40.1,697.4,610.3,88.1,46.0,61.2,6.8,2.7,17.6,42.6,1555.7,1566.9,1555.7,134.2,13.9,9.5,1566.9,False,,Scrambled
812981,6,20000516,1,2021,Derrick Rose,NY,PG,3,20000006,2021-03-06T03:15:16,25,928.9,906,83,194.4,452.1,66.3,72.7,158.9,358.0,68.5,35.5,94.1,58.2,97.2,114.2,131.3,10.8,74.1,84.9,3.1,13.2,11.9,172.8,44.7,15.4,74.1,44.7,521.5,502.3,80.1,31.3,49.2,5.9,4.0,19.8,43.6,989.1,990.2,989.1,-6.2,2.4,0.0,990.2,False,,Scrambled
821768,6,20000517,1,2021,Taj Gibson,NY,PF,0,20000006,2021-03-06T03:15:17,12,194.7,278,57,27.8,47.8,89.6,94.6,24.7,37.0,102.9,4.8,10.8,44.1,10.8,18.5,90.0,27.8,50.9,78.7,16.7,29.5,23.2,14.3,11.9,9.5,10.8,35.5,69.4,56.0,95.0,20.7,11.1,3.3,5.2,25.0,16.4,208.6,205.6,208.6,52.5,0.0,0.0,205.6,False,,Scrambled
813037,3,20000519,1,2021,Tony Snell,ATL,SG,6,20000003,2021-03-06T03:15:16,23,340.8,648,17,63.3,131.2,74.4,105.2,14.3,35.5,40.3,54.0,95.7,87.2,0.0,0.0,0.0,17.0,55.5,72.5,6.8,14.4,14.5,41.7,7.1,10.8,20.1,47.8,180.5,131.2,106.2,17.3,13.7,0.8,3.5,20.5,15.5,356.3,381.5,356.3,41.7,0.0,0.0,381.5,False,,Scrambled
812822,13,20000522,1,2021,Doug McDermott,IND,SF,14,20000013,2021-03-06T03:15:15,34,1037.7,1359,59,268.5,530.8,78.1,90.6,183.6,297.8,95.2,84.9,233.0,56.2,69.4,84.9,126.2,52.5,155.8,208.3,10.3,20.0,13.3,69.4,17.0,7.1,50.9,91.0,691.3,568.1,94.0,26.8,11.7,1.4,0.7,12.7,30.6,1059.3,1116.0,1059.3,80.2,0.0,0.0,1116.0,False,,Scrambled
812844,29,20000524,1,2021,E'Twaun Moore,PHO,SG,1,20000029,2021-03-06T03:15:16,22,326.0,514,63,61.7,146.6,65.0,69.9,52.5,108.0,75.0,14.3,38.6,37.0,12.3,15.4,123.4,17.0,43.2,60.2,9.0,14.1,10.1,54.0,21.6,9.5,27.8,46.3,145.0,153.4,72.8,15.8,21.4,5.0,2.5,23.7,24.3,353.8,347.6,353.8,64.8,0.0,0.0,347.6,False,,Scrambled
813099,3,20000530,1,2021,Rajon Rondo,ATL,PG,2,20000003,2021-03-06T03:15:16,20,356.1,461,60,44.7,114.2,60.5,75.0,24.7,61.7,61.7,20.1,52.5,58.9,2.4,4.8,77.2,9.5,61.7,67.9,3.5,22.4,12.4,108.0,18.5,4.8,41.7,27.8,111.1,115.5,74.1,18.3,49.8,4.7,1.4,40.9,22.6,377.7,390.4,377.7,-98.8,0.0,0.0,390.4,False,,Scrambled
812857,5,20000532,1,2021,Al-Farouq Aminu,ORL,PF,6,20000005,2021-03-06T03:15:16,9,200.4,250,83,26.2,66.3,60.9,71.7,17.0,43.2,60.6,14.3,23.1,61.7,10.8,13.9,120.0,13.9,43.2,57.1,13.2,28.7,18.3,23.1,12.3,11.9,15.4,13.9,72.5,72.5,77.2,21.4,20.2,5.7,6.8,27.1,23.4,220.5,215.6,220.5,-89.5,0.0,0.0,215.6,False,,Scrambled
812776,25,20000539,1,2021,Dwight Powell,DAL,PF,8,20000025,2021-03-06T03:15:15,23,382.0,534,20,47.8,103.4,71.4,73.8,46.3,91.0,78.4,2.4,12.3,19.3,66.3,88.0,116.3,35.5,77.2,112.6,11.3,24.1,17.7,30.9,20.1,10.8,24.7,81.8,163.6,142.1,88.9,20.4,11.9,4.4,4.5,22.8,21.3,412.9,400.8,412.9,38.6,0.0,0.0,400.8,False,,Scrambled
814713,18,20000541,1,2021,Trevor Ariza,OKC,SF,0,20000018,2021-03-06T02:21:29,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,Scrambled
812845,7,20000543,1,2021,Dwight Howard,PHI,C,4,20000007,2021-03-06T03:15:16,36,935.5,886,11,125.0,212.9,90.6,92.7,118.8,196.0,93.5,9.5,17.0,56.2,81.8,154.3,81.8,140.4,266.9,407.4,27.7,49.3,38.9,41.7,23.1,47.8,95.7,162.0,337.9,280.8,92.9,27.9,10.2,3.0,11.3,39.2,28.0,1006.5,1013.8,1006.5,-109.6,7.1,0.0,1013.8,False,,Scrambled
814717,8,20000544,1,2021,James Harden,BKN,SG,31,20000008,2021-03-06T03:15:17,31,2430.1,1810,5,385.8,797.7,74.7,89.5,229.9,408.9,86.7,155.8,388.8,61.9,282.4,328.7,132.5,40.1,333.3,373.4,6.3,30.2,17.9,532.3,55.5,32.4,202.1,103.4,1209.7,942.3,99.1,45.9,65.9,3.5,3.6,27.2,42.6,2518.0,2701.8,2518.0,129.6,37.0,12.3,2701.8,False,,Scrambled
812966,3,20000549,1,2021,Clint Capela,ATL,C,32,20000003,2021-03-06T03:15:16,32,1854.8,1464,32,320.9,544.7,90.9,90.9,320.9,544.7,90.9,0.0,0.0,0.0,84.9,154.3,84.9,245.3,453.6,699.0,28.4,52.0,40.2,44.7,37.0,109.6,71.0,112.6,726.8,612.6,91.5,41.9,12.1,3.0,10.2,16.0,31.0,2001.4,1983.1,2001.4,125.0,37.0,2.4,1983.1,False,,Scrambled
812027,28,20000554,1,2021,Patrick Beverley,LAC,PG,28,20000028,2021-03-06T03:15:15,28,807.6,1046,29,121.9,273.1,68.8,90.7,46.3,94.1,75.9,75.6,179.0,65.1,47.8,60.2,122.7,41.7,123.4,165.1,10.9,19.9,13.6,92.6,38.6,33.9,41.7,138.9,367.2,299.6,94.6,23.4,18.1,4.3,6.7,18.8,22.4,880.1,874.5,880.1,246.9,0.0,0.0,874.5,False,,Scrambled
812873,4,20000559,1,2021,Avery Bradley,MIA,SG,1,20000004,2021-03-06T03:15:16,10,207.7,324,68,47.8,101.8,72.5,91.2,23.1,43.2,82.7,24.7,58.6,65.0,10.8,13.9,120.0,4.8,24.7,27.8,2.7,12.6,11.5,21.6,10.8,2.4,13.9,40.1,131.2,107.9,93.7,19.7,15.9,3.9,1.2,17.6,26.1,220.0,228.4,220.0,-21.6,0.0,0.0,228.4,False,,Scrambled
813006,9,20000560,1,2021,Marcus Smart,BOS,PG,17,20000009,2021-03-06T03:15:16,17,745.1,847,39,114.2,290.1,60.8,72.2,71.0,151.2,72.4,43.2,138.9,48.0,71.0,95.7,114.5,10.8,61.7,72.5,3.4,12.8,11.5,158.9,47.8,13.9,46.3,60.2,342.5,332.2,79.5,26.2,40.3,6.6,3.6,18.9,29.8,806.8,798.1,806.8,-6.2,4.8,0.0,798.1,False,,Scrambled
812902,29,20000562,1,2021,Jae Crowder,PHO,PF,19,20000029,2021-03-06T03:15:16,32,1015.0,1361,85,168.2,418.2,62.0,84.2,49.4,101.8,74.8,118.8,316.3,58.0,44.7,54.0,127.9,20.1,225.3,245.3,4.0,27.9,15.6,104.9,43.2,10.8,44.7,89.5,499.9,441.9,87.2,21.8,15.8,3.7,1.7,14.2,24.7,1069.0,1109.0,1069.0,134.2,0.0,0.0,1109.0,False,,Scrambled
812798,4,20000564,1,2021,Kelly Olynyk,MIA,C,30,20000004,2021-03-06T03:15:15,35,1170.4,1429,86,203.7,461.4,68.0,85.2,101.8,152.8,102.9,101.8,308.6,50.9,33.9,46.3,113.1,49.4,266.9,316.3,9.7,30.9,19.2,115.7,43.2,29.3,71.0,151.2,543.1,481.7,87.0,22.6,19.2,3.5,5.1,19.8,26.9,1242.9,1274.9,1242.9,95.7,2.4,0.0,1274.9,False,,Scrambled
812011,27,20000571,1,2021,LeBron James,LAL,SF,36,20000027,2021-03-06T03:15:15,36,2604.3,1921,20,540.0,1060.0,78.5,88.3,407.4,689.7,91.2,132.7,370.3,55.2,222.2,320.9,106.8,32.4,413.5,445.9,4.6,36.5,20.0,432.0,63.3,33.9,208.3,86.4,1435.0,1201.3,92.1,44.7,60.0,3.8,3.7,22.8,49.4,2701.5,2838.7,2701.5,362.6,23.1,7.1,2838.7,False,,Scrambled
813058,12,20000572,1,2021,Kevin Love,CLE,PF,2,20000012,2021-03-06T03:15:16,2,61.6,71,35,14.3,27.8,51.4,68.5,7.1,13.9,51.4,7.1,13.9,51.4,9.5,11.9,123.4,4.8,15.4,18.5,11.3,38.5,22.5,11.9,2.4,0.0,7.1,2.4,29.3,31.2,73.3,21.3,24.3,2.5,0.0,20.0,33.6,63.1,67.1,63.1,24.7,0.0,0.0,67.1,False,,Scrambled
812042,8,20000574,1,2021,Kyrie Irving,BKN,PG,26,20000008,2021-03-06T03:15:15,26,1725.5,1424,63,415.1,813.2,78.7,90.0,297.8,527.7,87.0,117.3,285.5,63.4,145.0,163.6,136.9,47.8,143.5,191.3,9.5,16.5,11.6,239.2,43.2,24.7,91.0,114.2,1092.4,885.1,95.2,44.7,42.4,3.5,3.5,14.4,46.1,1793.4,1843.9,1793.4,313.2,4.8,0.0,1843.9,False,,Scrambled
833399,8,20000576,1,2021,Iman Shumpert,BKN,SG,0,20000008,2021-03-06T03:15:17,2,10.0,15,91,2.4,9.5,38.6,38.6,2.4,2.4,154.3,0.0,7.1,0.0,0.0,0.0,0.0,2.4,0.0,2.4,16.7,0.0,12.1,0.0,2.4,0.0,2.4,0.0,4.8,9.5,38.6,1.6,0.0,10.4,0.0,30.9,30.6,12.4,11.3,12.4,-1.5,0.0,0.0,11.3,False,,Scrambled
812916,9,20000577,1,2021,Tristan Thompson,BOS,C,29,20000009,2021-03-06T03:15:16,34,1046.3,1193,60,171.3,322.5,81.9,81.9,171.3,317.9,83.2,0.0,7.1,0.0,74.1,117.3,97.5,162.0,274.7,436.7,23.3,40.5,31.8,50.9,18.5,20.1,47.8,111.1,416.6,374.1,85.9,26.9,14.3,1.8,3.7,17.5,23.6,1084.9,1101.3,1084.9,-15.4,9.5,0.0,1101.3,False,,Scrambled
813123,12,20000579,1,2021,Matthew Dellavedova,CLE,PG,0,20000012,2021-03-06T02:21:29,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,Scrambled
812025,8,20000584,1,2021,Joe Harris,BKN,SF,33,20000008,2021-03-06T03:15:15,37,1281.8,1764,79,310.1,584.8,81.8,107.5,115.7,200.6,89.0,194.4,384.2,78.1,32.4,46.3,108.0,29.3,172.8,202.1,4.7,16.1,15.3,100.3,32.4,10.8,44.7,126.5,847.1,605.2,108.0,27.9,12.1,2.1,1.2,10.6,24.8,1325.0,1411.5,1325.0,351.8,0.0,0.0,1411.5,False,,Scrambled
813136,11,20000587,1,2021,Thaddeus Young,CHI,PF,0,20000011,2021-03-06T03:15:17,30,1283.3,1173,14,257.7,424.3,93.7,95.4,250.0,390.4,98.8,11.9,33.9,35.0,35.5,71.0,77.2,109.6,162.0,271.6,16.4,23.2,19.9,202.1,64.8,26.2,86.4,125.0,558.6,455.6,94.7,37.3,39.7,6.2,4.6,24.6,30.6,1374.4,1350.9,1374.4,174.4,7.1,0.0,1350.9,False,,Scrambled
813124,15,20000588,1,2021,Brook Lopez,MIL,C,36,20000015,2021-03-06T03:15:17,36,1144.3,1504,14,217.6,466.0,72.1,85.8,132.7,222.2,92.1,84.9,243.8,53.7,77.2,94.1,126.5,75.6,206.8,282.4,12.8,21.6,15.1,33.9,29.3,74.1,49.4,117.3,597.1,507.4,90.7,24.2,6.9,2.2,10.4,13.7,24.1,1247.7,1227.8,1247.7,220.6,2.4,0.0,1227.8,False,,Scrambled
812766,17,20000591,1,2021,Bojan Bogdanovic,UTA,SF,36,20000017,2021-03-06T03:15:15,36,1277.6,1699,73,290.1,671.2,66.7,84.1,138.9,297.8,71.9,151.2,373.4,62.5,142.0,166.6,131.5,27.8,188.2,216.0,4.3,17.6,10.5,108.0,27.8,4.8,78.7,91.0,873.3,744.5,90.6,24.8,14.3,1.9,0.3,14.7,32.4,1308.5,1403.4,1308.5,319.4,0.0,0.0,1403.4,False,,Scrambled
812846,14,20000594,1,2021,Mason Plumlee,DET,C,34,20000014,2021-03-06T03:15:16,34,1487.8,1470,22,223.7,368.8,93.7,93.7,223.7,359.5,96.0,0.0,14.3,0.0,98.8,146.6,104.0,145.0,334.8,479.9,16.4,40.5,28.0,200.6,43.2,44.7,111.1,185.2,546.2,433.3,97.2,31.1,33.0,3.5,6.5,31.5,25.0,1575.7,1592.8,1575.7,-177.4,13.9,4.8,1592.8,False,,Scrambled
812982,20,20000602,1,2021,Paul Millsap,DEN,PF,26,20000020,2021-03-06T03:15:16,26,836.8,957,69,152.8,291.6,80.9,93.8,103.4,171.3,93.2,49.4,120.4,63.3,63.3,91.0,107.2,63.3,143.5,206.8,11.8,26.0,19.0,66.3,33.9,21.6,40.1,83.3,418.2,331.7,97.2,30.0,14.7,4.2,5.2,16.6,26.5,892.3,894.2,892.3,55.5,2.4,0.0,894.2,False,,Scrambled
